Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats
Alessandro Florenzi,Milan,Italy,Serie A TIM,97,CM,"RWB,RB",Futties Premium,Explosive,52000.0,26.83%,4,5,H,M,95.0,95,96,98,93,91,"173cm | 5'8""",Unique  (67kg),669,568,2745
David Ginola,HERO,France,Ligue 1,97,LM,"CAM,ST,LW",Futties Hero,Controlled,560000.0,4.67%,5,5,H,M,97.0,96,95,98,65,93,"186cm | 6'1""",High & Average  (83kg),1009,544,2625
Thiago,Liverpool,Spain,Premier League,97,CAM,CM,Futties SBC,Explosive,133250.0,3.50%,5,4,M,M,94.0,92,97,95,85,82,"174cm | 5'9""",Average  (70kg),-1137,545,2671
Ronaldo,FUT ICONS,Brazil,Icons,96,ST,CF,Icon,Controlled,933000.0,3.81%,5,5,M,M,97.0,95,81,95,45,76,"183cm | 6'0""",R9  (78kg),4333,489,2341
Zinedine Zidane,FUT ICONS,France,Icons,96,CAM,CM,Icon,Controlled,240000.0,1.27%,5,5,M,M,85.0,92,96,95,75,86,"185cm | 6'1""",Average  (77kg),2179,529,2548
Pelé,FUT ICONS,Brazil,Icons,96,CF,"CAM,ST",World Cup ICON,Explosive,959000.0,1.13%,5,4,H,M,96.0,94,92,95,58,75,"173cm | 5'8""",Unique  (70kg),1318,510,2475
Hugo Lloris,Spurs,France,Premier League,96,CM,CDM,Shapeshifters,Lengthy,52000.0,6.12%,4,5,M,H,91.0,87,97,93,93,95,"188cm | 6'2""",Unique  (82kg),645,556,2698
João Félix,Chelsea,Portugal,Premier League,96,CAM,CM,Shapeshifters,Controlled,61000.0,8.93%,5,5,H,M,94.0,91,94,96,80,86,"181cm | 5'11""",Unique  (70kg),887,541,2595
Cavani,Valencia CF,Uruguay,LaLiga Santander,96,ST,CF,Level Up Premium Obj,Controlled,0.0,0,5,4,H,H,92.0,96,89,94,65,89,"185cm | 6'1""",Unique  (77kg),950,525,2561
Hakan Çalhanoglu,Inter,Turkey,Serie A TIM,96,CM,"CDM,CAM",Level Up Obj,Controlled,0.0,0,4,5,H,H,94.0,91,97,94,90,89,"178cm | 5'10""",Average  (76kg),1244,555,2645
Timo Werner,RB Leipzig,Germany,Bundesliga,96,ST,"CF,LW",Level Up Obj,Explosive,0.0,0,4,5,H,M,99.0,94,90,96,48,82,"180cm | 5'11""",Unique  (76kg),540,509,2447
Leon Goretzka,FC Bayern,Germany,Bundesliga,96,CM,CDM,Level Up,Controlled,135000.0,18.42%,3,5,H,H,91.0,91,93,93,91,95,"189cm | 6'2""",Unique  (82kg),267,554,2625
Gabriel Martinelli,Arsenal,Brazil,Premier League,96,LM,"CF,LW",Level Up,Explosive,0.0,0,5,4,H,H,99.0,90,90,98,71,90,"178cm | 5'10""",Lean  (75kg),324,538,2553
Aurélien Tchouaméni,Real Madrid,France,LaLiga Santander,96,CDM,CM,Level Up,Controlled,0.0,0,3,5,M,H,93.0,83,92,91,94,96,"187cm | 6'2""",High & Average+  (81kg),370,549,2570
Diogo Jota,Liverpool,Portugal,Premier League,96,ST,"CF,LW",Futties,Explosive,0.0,0,5,5,H,H,96.0,94,88,96,70,88,"178cm | 5'10""",Average  (73kg),1026,532,2552
Heung Min Son,Spurs,Korea Republic,Premier League,96,LW,"LM,CAM",Futties Premium SBC,Controlled,574150.0,18.42%,5,5,H,M,96.0,97,91,97,49,80,"183cm | 6'0""",Unique  (78kg),3094,510,2441
Federico Chiesa,Juventus,Italy,Serie A TIM,96,RW,RM,Futties Premium,Controlled,0.0,0,5,4,H,M,99.0,95,96,98,63,90,"175cm | 5'9""",Average  (70kg),658,541,2553
Isco,Real Betis,Spain,LaLiga Santander,96,CAM,"CM,LW",Futties Premium,Explosive,0.0,0,5,5,M,M,88.0,90,96,99,80,81,"176cm | 5'9""",Average  (79kg),78,534,2601
Alexandre Lacazette,OL,France,Ligue 1,96,ST,CF,Futties,Controlled,0.0,0,5,4,H,H,97.0,94,94,96,57,94,"175cm | 5'9""",Unique  (73kg),40,532,2564
Ronald Araujo,FC Barcelona,Uruguay,LaLiga Santander,96,CB,RB,Futties,Lengthy,138000.0,1.43%,3,5,M,H,94.0,64,85,85,96,95,"192cm | 6'4""",High & Average  (91kg),792,519,2399
Jay-Jay Okocha,HERO,Nigeria,Premier League,96,CAM,"RM,ST",Futties Hero,Explosive,72000.0,2.86%,5,5,H,M,97.0,94,93,99,51,71,"173cm | 5'8""",Average  (70kg),620,505,2461
Robbie Keane,HERO,Republic of Ireland,Major League Soccer,96,ST,CF,Futties Hero,Controlled,40250.0,2.86%,4,5,H,M,96.0,97,90,98,56,90,"175cm | 5'9""",Average  (73kg),244,527,2516
Maxence Lacroix,VfL Wolfsburg,France,Bundesliga,96,CB,0,Futties Premium,Lengthy,0.0,2,0,4,M,H,96.0,46,82,86,96,95,"190cm | 6'3""",High & Average  (88kg),948,501,2298
Pelé,FUT ICONS,Brazil,Icons,95,CF,"CAM,ST",Icon,Explosive,409000.0,2.15%,5,4,H,M,96.0,93,90,95,56,75,"173cm | 5'8""",Unique  (69kg),2306,505,2452
Ronaldo,FUT ICONS,Brazil,Icons,95,ST,CF,World Cup ICON,Controlled,899000.0,0.11%,5,5,M,M,95.0,94,80,94,46,78,"183cm | 6'0""",R9  (78kg),1271,487,2325
Zinedine Zidane,FUT ICONS,France,Icons,95,CAM,CM,World Cup ICON,Controlled,367000.0,22.74%,5,5,M,M,84.0,91,94,94,73,85,"185cm | 6'1""",Average  (77kg),894,521,2516
Marquinhos,Paris SG,Brazil,Ligue 1,95,CB,0,TOTS,Controlled,26000.0,36.84%,3,3,M,H,90.0,64,84,84,95,90,"183cm | 6'0""",Average  (75kg),1178,507,2365
Nicolò Barella,Inter,Italy,Serie A TIM,95,CM,0,TOTS,Controlled,14500.0,10.77%,4,4,H,H,90.0,88,95,93,92,92,"172cm | 5'8""",Short & Lean-  (68kg),1167,550,2666
Lautaro Martínez,Inter,Argentina,Serie A TIM,95,ST,CF,TOTS,Controlled,18250.0,7.35%,4,4,H,M,95.0,95,85,94,56,93,"174cm | 5'9""",Unique  (72kg),1038,518,2509
Paulo Dybala,Roma FC,Argentina,Serie A TIM,95,CF,"CAM,RW,ST",TOTS,Explosive,95000.0,7.35%,4,4,H,L,92.0,95,95,99,48,73,"177cm | 5'10""",Unique  (75kg),995,502,2475
Christopher Nkunku,RB Leipzig,France,Bundesliga,95,CF,"CAM,ST",Award Winner,Explosive,240000.0,4.35%,5,5,H,M,97.0,91,93,97,77,81,"175cm | 5'9""",Average  (73kg),212,536,2538
Sergio Busquets,FC Barcelona,Spain,LaLiga Santander,95,CDM,CM,Premium SBC,Controlled,229750.0,4.35%,4,4,M,H,87.0,87,93,95,94,91,"189cm | 6'2""",High & Average+  (76kg),6322,547,2589
Jota,Celtic,Portugal,Scottish Premiership (SPFL),95,RW,"RM,LM,LW",TOTS,Explosive,21250.0,26.87%,5,4,H,M,99.0,90,92,98,58,81,"175cm | 5'9""",Average  (67kg),937,518,2474
Jordi Alba Ramos,FC Barcelona,Spain,LaLiga Santander,95,LB,LWB,Premium SBC,Explosive,161750.0,26.87%,4,4,H,H,95.0,83,92,93,90,88,"170cm | 5'7""",Unique  (68kg),3709,541,2593
Dayot Upamecano,FC Bayern,France,Bundesliga,95,CAM,"CM,CF",Shapeshifters SBC,Controlled,349800.0,26.87%,5,4,H,M,95.0,92,94,93,75,96,"186cm | 6'1""",High & Stocky  (90kg),2018,545,2604
Riyad Mahrez,Manchester City,Algeria,Premier League,95,ST,CF,Shapeshifters,Explosive,37750.0,2.72%,5,5,H,M,95.0,97,91,95,45,77,"179cm | 5'10""",Unique  (67kg),1547,500,2415
Luis Muriel,Atalanta BC,Colombia,Serie A TIM,95,ST,CF,Futties Premium,Controlled,0.0,0,5,5,H,M,99.0,93,90,97,43,81,"179cm | 5'10""",Average  (79kg),996,503,2418
Lorenzo Insigne,Toronto FC,Italy,Major League Soccer,95,LW,"LM,CF,RW",Futties Premium,Explosive,45000.0,23.29%,5,5,H,M,97.0,92,94,97,48,61,"163cm | 5'4""",Unique  (59kg),769,489,2392
Denzel Dumfries,Inter,Netherlands,Serie A TIM,95,RWB,"RB,RM",Futties,Lengthy,64000.0,7.56%,4,4,H,H,96.0,82,88,91,91,99,"188cm | 6'2""",High & Average  (80kg),565,547,2564
Diego Forlán,HERO,Uruguay,Premier League,95,ST,"CF,LW",Futties Hero,Controlled,56500.0,24.18%,4,5,H,H,94.0,98,88,95,63,86,"180cm | 5'11""",Average  (75kg),867,524,2537
Lukas Podolski,Górnik Zabrze,Germany,Polski Ekstraklasa (POL 1),95,ST,"CF,RW,LW",Futties Premium SBC,Controlled,180750.0,24.18%,5,5,H,L,92.0,99,90,94,57,92,"183cm | 6'0""",Average  (88kg),1635,524,2544
Ahmed Musa,Sivasspor,Nigeria,Süper Lig (TUR 1),95,RW,"RM,ST,LW",Futties Premium,Explosive,0.0,0,5,4,H,M,99.0,92,88,94,50,78,"171cm | 5'7""",Lean  (66kg),501,501,2420
Rúben Neves,Al Hilal,Portugal,MBS Pro League (SAU 1),95,CM,CDM,Futties Premium,Controlled,38750.0,29.17%,4,5,H,H,93.0,91,99,94,91,93,"180cm | 5'11""",Average  (80kg),500,561,2695
Diego Carlos,Aston Villa,Brazil,Premier League,95,CB,0,Futties,Lengthy,125000.0,29.17%,3,5,M,H,92.0,60,85,84,95,95,"185cm | 6'1""",High & Stocky  (86kg),624,511,2417
Capdevila,HERO,Spain,LaLiga Santander,95,LB,"LWB,LM,LW",Futties Hero,Controlled,484000.0,3.20%,4,5,H,M,96.0,86,92,92,95,92,"182cm | 6'0""",Average  (79kg),987,553,2654
Paul Scholes,FUT ICONS,England,Icons,95,CM,"CDM,CAM",Cover Star Icon Obj,Controlled,0.0,0,4,5,M,M,93.0,94,96,92,92,93,"171cm | 5'7""",Short & Lean-  (71kg),1434,560,2699
Müller,FUT ICONS,Germany,Icons,94,ST,CF,Icon,Controlled,71000.0,0.70%,4,4,H,M,88.0,94,77,88,43,76,"176cm | 5'9""",Normal,1053,466,2287
Robert Lewandowski,FC Barcelona,Poland,LaLiga Santander,94,ST,CF,OTW,Controlled,34750.0,22.35%,4,4,H,M,81.0,94,83,89,49,86,"185cm | 6'1""",Unique  (81kg),1721,482,2351
Lionel Messi,Paris SG,Argentina,Ligue 1,94,RW,RM,Champions League,Explosive,278000.0,2.80%,4,4,L,L,85.0,92,94,97,37,69,"169cm | 5'7""",Messi  (67kg),2016,474,2337
Lionel Messi,Paris SG,Argentina,Ligue 1,94,CF,ST,World Cup TOTT,Explosive,1100000.0,22.11%,4,4,H,L,86.0,93,94,97,37,70,"169cm | 5'7""",Messi  (67kg),3826,477,2347
Kylian Mbappé,Paris SG,France,Ligue 1,94,LW,"RM,LM,CAM",World Cup TOTT,Controlled,1100000.0,5.09%,5,4,H,L,99.0,92,85,95,40,82,"182cm | 6'0""",Unique  (73kg),1203,493,2338
Achraf Hakimi,Paris SG,Morocco,Ligue 1,94,RB,RWB,TOTY,Controlled,153000.0,7.27%,4,4,H,M,99.0,81,90,91,90,91,"181cm | 5'11""",Lean  (73kg),2134,542,2580
Éder Militão,Real Madrid,Brazil,LaLiga Santander,94,CB,RB,TOTY,Controlled,100000.0,5.82%,2,3,M,M,90.0,60,81,83,95,92,"186cm | 6'1""",Lean  (78kg),1579,501,2362
Theo Hernández,Milan,France,Serie A TIM,94,LB,LWB,TOTY,Controlled,104000.0,17.51%,3,3,H,M,98.0,80,88,90,88,92,"184cm | 6'0""",Unique  (81kg),3041,536,2514
David Beckham,FUT ICONS,England,Icons,94,RM,"CM,RW",TOTY Icon,Controlled,693000.0,0.29%,4,4,H,H,91.0,88,96,91,70,83,"182cm | 6'0""",Average  (74kg),2214,519,2528
Ruud Gullit,FUT ICONS,Netherlands,Icons,94,CF,"CM,CAM,ST",TOTY Icon,Controlled,999000.0,16.75%,4,5,H,M,87.0,93,93,90,84,91,"191cm | 6'3""",Unique  (88kg),2226,538,2613
ter Stegen,FC Barcelona,Germany,LaLiga Santander,94,GK,0,TOTS,Controlled,13750.0,5.77%,1,4,M,M,92.0,91,94,96,53,91,"187cm | 6'2""",Unique  (85kg),1406,517,1092
Hany Mukhtar,Nashville SC,Germany,Major League Soccer,94,CF,"CAM,ST",TOTS,Explosive,12500.0,6.38%,4,5,H,M,95.0,94,91,93,61,82,"173cm | 5'8""",Average  (71kg),433,516,2480
Wissam Ben Yedder,AS Monaco,France,Ligue 1,94,ST,CF,TOTS,Explosive,14500.0,7.41%,4,5,H,L,92.0,94,90,98,50,80,"170cm | 5'7""",Unique  (68kg),1175,504,2465
Facundo Medina,RC Lens,Argentina,Ligue 1,94,CB,0,TOTS,Lengthy,14000.0,7.69%,3,3,M,H,88.0,55,80,90,92,93,"184cm | 6'0""",Average  (77kg),902,498,2329
Jonathan David,LOSC,Canada,Ligue 1,94,ST,"CF,RW,LW",TOTS,Controlled,36500.0,18.89%,4,5,H,H,95.0,95,88,93,50,88,"180cm | 5'11""",Average  (77kg),2575,509,2411
Marco Verratti,Paris SG,Italy,Ligue 1,94,CM,"CDM,CAM",TOTS,Explosive,13750.0,7.84%,4,5,M,H,90.0,78,96,99,88,85,"165cm | 5'5""",Unique  (60kg),1474,536,2603
Theo Hernández,Milan,France,Serie A TIM,94,LB,LWB,TOTS,Controlled,66000.0,32.00%,3,3,H,M,99.0,80,90,90,90,91,"184cm | 6'0""",Unique  (81kg),1446,540,2531
Adrien Rabiot,Juventus,France,Serie A TIM,94,CM,LM,TOTS,Controlled,16500.0,15.79%,4,5,M,M,90.0,90,92,95,91,93,"192cm | 6'4""",High & Average+  (80kg),1134,551,2604
Chris Smalling,Roma FC,England,Serie A TIM,94,CB,0,TOTS,Lengthy,12500.0,6.38%,2,3,M,H,90.0,60,72,75,93,95,"194cm | 6'4""",High & Average+  (81kg),1454,485,2236
Phil Foden,Manchester City,England,Premier League,94,LW,"LM,CAM,CF",ShowDown SBC,Explosive,632650.0,6.38%,4,4,H,H,93.0,90,92,97,66,74,"171cm | 5'7""",Lean  (69kg),-2778,512,2432
Marcos Acuña,Sevilla FC,Argentina,LaLiga Santander,94,CM,CDM,Flashback SBC,Controlled,138850.0,0,4,5,H,H,92.0,88,93,95,91,92,"172cm | 5'8""",Stocky  (69kg),2302,551,2628
Hakan Çalhanoglu,Inter,Turkey,Serie A TIM,94,CM,"CDM,CAM",Level Up,Controlled,0.0,0,4,4,H,H,92.0,89,96,93,88,87,"178cm | 5'10""",Average  (76kg),273,545,2600
Jesús Corona,Sevilla FC,Mexico,LaLiga Santander,94,RW,"RM,LW",Level Up Obj,Explosive,0.0,0,5,5,H,M,93.0,87,90,95,82,75,"173cm | 5'8""",Average  (66kg),251,522,2551
Renato Sanches,Paris SG,Portugal,Ligue 1,94,CM,RM,Level Up Obj,Controlled,0.0,0,5,4,H,H,95.0,92,92,97,88,97,"176cm | 5'9""",Average  (70kg),246,561,2673
Cavani,Valencia CF,Uruguay,LaLiga Santander,94,ST,CF,Level Up,Controlled,21500.0,0,4,4,H,H,91.0,95,84,93,63,88,"185cm | 6'1""",Unique  (77kg),422,514,2504
Téji Savanier,Montpellier,France,Ligue 1,94,CAM,CM,Level Up Obj,Controlled,0.0,0,5,5,H,M,91.0,91,95,94,84,87,"172cm | 5'8""",Average  (69kg),982,542,2588
Aubameyang,Chelsea,Gabon,Premier League,94,ST,CF,Flashback SBC,Controlled,452400.0,0,5,4,H,L,97.0,94,88,93,45,87,"187cm | 6'2""",Unique  (80kg),1095,504,2452
Alexis Mac Allister,Liverpool,Argentina,Premier League,94,CAM,CM,Player Moments SBC,Controlled,300050.0,0,5,4,H,M,90.0,92,95,93,86,88,"176cm | 5'9""",Average  (72kg),1292,544,2617
Caio Henrique,AS Monaco,Brazil,Ligue 1,94,LB,"LWB,LM",Level Up Premium,Controlled,0.0,0,5,4,H,H,95.0,75,92,93,90,83,"179cm | 5'10""",Lean  (70kg),243,528,2526
Domenico Berardi,Sassuolo,Italy,Serie A TIM,94,RM,"LM,RW,LW",Level Up Premium,Controlled,0.0,0,5,5,H,M,93.0,93,90,94,70,85,"183cm | 6'0""",Lean  (72kg),244,525,2520
Franco Baresi,FUT ICONS,Italy,Icons,93,CB,0,Icon,Controlled,71000.0,0.71%,2,3,M,H,70.0,49,76,72,95,82,"176cm | 5'9""",Average  (70kg),-81,444,2131
George Best,FUT ICONS,Northern Ireland,Icons,93,RW,"RM,CAM,LW",Icon,Explosive,70500.0,3.42%,4,4,M,M,93.0,91,84,94,58,71,"175cm | 5'9""",Lean  (65kg),1470,491,2370
Lothar Matthäus,FUT ICONS,Germany,Icons,93,CM,"CB,CDM",Icon,Controlled,75500.0,11.18%,3,4,H,H,89.0,89,90,82,90,85,"174cm | 5'9""",Average  (71kg),682,525,2544
Marco van Basten,FUT ICONS,Netherlands,Icons,93,ST,CF,Icon,Controlled,71000.0,8.39%,3,4,M,M,83.0,94,76,89,39,75,"188cm | 6'2""",High & Average+  (78kg),244,456,2231
Roberto Baggio,FUT ICONS,Italy,Icons,93,CAM,CF,Icon,Explosive,75000.0,4.17%,5,4,M,L,86.0,84,92,92,40,61,"174cm | 5'9""",Unique  (73kg),591,455,2217
Ruud Gullit,FUT ICONS,Netherlands,Icons,93,CF,"CM,CAM,ST",Icon,Controlled,398000.0,1.73%,4,5,H,M,86.0,91,91,89,82,90,"191cm | 6'3""",Unique  (88kg),2352,529,2566
Thierry Henry,FUT ICONS,France,Icons,93,ST,"CF,LW",Icon,Controlled,122000.0,11.93%,4,4,M,M,94.0,91,83,90,53,80,"188cm | 6'2""",High & Average  (83kg),1707,491,2332
Xavier Hernández,FUT ICONS,Spain,Icons,93,CM,0,Icon,Explosive,72000.0,2.13%,4,3,H,H,81.0,80,95,93,72,72,"170cm | 5'7""",Short & Lean-  (67kg),1713,493,2391
Kylian Mbappé,Paris SG,France,Ligue 1,93,ST,"CF,LW",Road to World Cup,Controlled,650000.0,5.11%,5,4,H,L,98.0,91,84,94,39,80,"182cm | 6'0""",Unique  (73kg),-698,486,2306
Mané Garrincha,FUT ICONS,Brazil,Icons,93,RW,RM,World Cup ICON,Explosive,157000.0,18.05%,5,4,M,L,90.0,87,93,95,41,68,"169cm | 5'7""",Short & Lean-  (72kg),738,474,2295
Dennis Bergkamp,FUT ICONS,Netherlands,Icons,93,CF,"CAM,ST",Trophy Titans - ICON,Controlled,0.0,0,4,4,M,M,86.0,93,87,91,38,80,"183cm | 6'0""",Average  (78kg),849,475,2314
Miroslav Klose,FUT ICONS,Germany,Icons,93,ST,CF,Trophy Titans - ICON,Controlled,19250.0,17.20%,4,5,H,M,90.0,90,78,85,43,82,"184cm | 6'0""",Lean  (74kg),827,468,2270
Iker Casillas,FUT ICONS,Spain,Icons,93,GK,0,Trophy Titans - ICON,Controlled,12500.0,4.17%,1,3,M,M,94.0,91,87,96,62,92,"185cm | 6'1""",Average  (0kg),1628,522,1359
Philipp Lahm,FUT ICONS,Germany,Icons,93,RB,"RWB,LB,CDM",Trophy Titans - ICON,Explosive,12500.0,3.85%,4,3,H,H,89.0,74,90,89,93,76,"170cm | 5'7""",Short & Lean-  (65kg),1059,511,2474
Mesut Özil,Başakşehir,Germany,Süper Lig (TUR 1),93,CAM,RM,Premium SBC,Controlled,127250.0,3.85%,5,4,H,L,85.0,84,94,93,36,77,"180cm | 5'11""",Unique  (70kg),3707,469,2291
Frank Lampard,FUT ICONS,England,Icons,93,CM,"CDM,CAM",Trophy Titans - ICON,Controlled,0.0,0,3,4,H,M,82.0,92,90,87,77,84,"184cm | 6'0""",Average  (89kg),-134,512,2456
Patrick Vieira,FUT ICONS,France,Icons,93,CM,CDM,Trophy Titans - ICON,Lengthy,88000.0,27.54%,3,4,M,H,85.0,82,84,87,92,93,"192cm | 6'4""",High & Average+  (83kg),880,523,2452
Laurent Blanc,FUT ICONS,France,Icons,93,CB,"CDM,CM,CAM",Trophy Titans - ICON,Lengthy,13000.0,10.64%,2,3,M,H,82.0,71,73,82,94,90,"192cm | 6'4""",High & Average  (82kg),1364,492,2331
Raúl González Blanco,FUT ICONS,Spain,Icons,93,CF,ST,Trophy Titans - ICON,Controlled,270350.0,10.64%,4,5,H,M,90.0,93,84,91,48,79,"180cm | 5'11""",Lean  (68kg),2765,485,2358
Xavi Simons,PSV,Netherlands,Eredivisie,93,CAM,"CM,RW,LW",TOTS,Explosive,12000.0,10.64%,4,4,H,M,95.0,90,91,96,80,85,"168cm | 5'6""",Short & Lean  (58kg),2066,537,2567
Enner Valencia,Fenerbahçe,Ecuador,Süper Lig (TUR 1),93,ST,"CF,RW,LW",TOTS,Controlled,12000.0,4.00%,5,3,H,H,99.0,91,83,91,63,93,"177cm | 5'10""",Average  (74kg),826,520,2486
Gonzalo Montiel,Sevilla FC,Argentina,LaLiga Santander,93,RB,"RWB,CB,LB",ShowDown SBC,Controlled,72000.0,4.00%,3,5,H,H,93.0,72,85,88,89,92,"175cm | 5'9""",Average  (70kg),1086,519,2462
Wojciech Szczesny,Juventus,Poland,Serie A TIM,93,GK,0,TOTS,Controlled,18750.0,2.74%,1,3,M,M,94.0,90,80,95,56,94,"195cm | 6'5""",High & Average+  (90kg),458,509,980
Ángel Di María,Juventus,Argentina,Serie A TIM,93,CF,"CAM,RW,ST",TOTS Moments,Explosive,12000.0,2.13%,5,4,H,M,93.0,90,92,95,56,80,"180cm | 5'11""",Unique  (69kg),1873,506,2461
Bremer,Juventus,Brazil,Serie A TIM,93,CB,0,TOTS,Lengthy,11750.0,2.08%,2,3,H,M,90.0,60,71,77,96,91,"188cm | 6'2""",High & Average  (82kg),884,485,2242
Taremi,FC Porto,Iran,Liga NOS (POR 1),93,ST,CF,TOTS,Controlled,11750.0,2.08%,4,4,H,M,93.0,94,86,93,48,87,"186cm | 6'1""",High & Average  (83kg),235,501,2352
